Strategy Combination,Avg Return(%),Avg MDD(%),Avg Sharpe,Avg Win Rate,Avg Profit Factor
Momentum_20(0.4) + MA_Breakout_20(0.6),31.5,-32.81,0.18,0.45,1.08
MA_Breakout_20(1.0),31.08,-30.81,0.28,0.46,1.12
Doji_Rebound(0.2) + MA_Breakout_20(0.8),30.75,-30.58,0.28,0.46,1.12
Momentum_20(0.2) + MA_Breakout_20(0.8),30.74,-30.45,0.28,0.46,1.11
VolSpike_3.0x(0.2) + MA_Breakout_20(0.8),30.74,-30.51,0.28,0.46,1.12
Disparity_20(0.2) + MA_Breakout_20(0.8),30.74,-30.45,0.28,0.46,1.11
High_52W_Breakout(0.2) + MA_Breakout_20(0.8),30.74,-30.45,0.28,0.46,1.11
MA_Breakout_20(0.8) + RSI_14(0.2),30.74,-30.45,0.28,0.46,1.11
BBounce_20(0.2) + MA_Breakout_20(0.8),30.43,-30.57,0.27,0.46,1.11
GCross_5_20(0.4) + MA_Breakout_20(0.6),30.13,-32.15,0.19,0.44,1.09
VolSpike_3.0x(0.4) + High_52W_Breakout(0.6),30.1,-22.51,0.18,0.31,13.75
GCross_5_20(0.2) + MA_Breakout_20(0.8),29.98,-30.43,0.27,0.46,1.11
VolSpike_3.0x(0.4) + MA_Breakout_20(0.6),29.05,-30.97,0.27,0.46,1.12
High_52W_Breakout(0.4) + MA_Breakout_20(0.6),28.51,-30.09,0.28,0.46,1.11
Disparity_20(0.4) + Doji_Rebound(0.6),27.74,-23.32,0.68,0.49,1.36
Disparity_20(0.6) + Doji_Rebound(0.4),27.74,-23.32,0.68,0.49,1.36
MACD_12_26(0.4) + Doji_Rebound(0.6),27.56,-27.12,0.48,0.48,1.21
MACD_12_26(0.2) + MA_Breakout_20(0.8),27.54,-30.63,0.23,0.46,1.1
MACD_12_26(0.6) + MA_Breakout_20(0.4),27.01,-27.42,0.4,0.46,1.19
MACD_12_26(0.6) + Doji_Rebound(0.4),26.58,-26.98,0.46,0.47,1.21
Momentum_20(0.4) + RSI_14(0.6),25.97,-28.41,0.29,0.47,1.15
Doji_Rebound(0.4) + RSI_14(0.6),25.65,-25.1,-0.11,0.48,1.28
GCross_5_20(0.4) + MACD_12_26(0.6),25.53,-28.74,0.37,0.45,1.18
GCross_5_20(0.6) + MACD_12_26(0.4),25.53,-28.74,0.37,0.45,1.18
MA_Breakout_20(0.4) + RSI_14(0.6),25.19,-23.79,0.51,0.48,1.3
