date,open,high,low,close,volume,Change
2025-07-01,59200,61000,58000,58300,1329214,0.005172413793103514
2025-07-02,59200,59200,55000,55800,1317132,-0.04288164665523153
2025-07-03,56700,56800,54200,54700,1217587,-0.01971326164874554
2025-07-04,54200,55500,51700,51900,1386037,-0.051188299817184646
2025-07-07,50300,52400,50300,51900,1015351,0.0
2025-07-08,52800,53300,51500,53000,1099799,0.021194605009633882
2025-07-09,57100,57300,55300,55600,2140097,0.049056603773584895
2025-07-10,56000,57700,54500,56200,1556338,0.010791366906474753
2025-07-11,56000,56100,54000,54200,874792,-0.03558718861209964
2025-07-14,54300,55100,52500,53500,825815,-0.01291512915129156
2025-07-15,53000,55700,53000,55000,1022039,0.028037383177569986
2025-07-16,55100,56200,54300,55200,728758,0.0036363636363636598
2025-07-17,55500,56500,54100,55400,1078876,0.0036231884057971175
2025-07-18,56300,56300,54900,55700,702906,0.005415162454873723
2025-07-21,56200,57600,55500,56600,827328,0.016157989228007263
2025-07-22,56200,58000,55000,55700,1392151,-0.01590106007067138
2025-07-23,56200,56300,54100,54900,665150,-0.014362657091561926
2025-07-24,55000,56200,54800,55300,868037,0.007285974499089187
2025-07-25,56200,58200,55400,57100,1843931,0.032549728752260476
2025-07-28,58000,60200,56000,57800,2185079,0.012259194395796813
2025-07-29,59100,59400,54500,56500,3396530,-0.02249134948096887
2025-07-30,56500,56900,55000,55400,1395424,-0.019469026548672552
2025-07-31,56300,62000,56000,59400,6806848,0.07220216606498187
2025-08-01,61400,61500,56900,59900,3863528,0.008417508417508435
2025-08-04,57900,59000,55200,57700,1630427,-0.036727879799666074
2025-08-05,57700,58400,57200,58000,1167029,0.005199306759098743
2025-08-06,57300,57500,56100,56800,758396,-0.020689655172413834
2025-08-07,57000,58200,56500,56700,768069,-0.0017605633802817433
2025-08-08,55500,55800,52700,52800,2048494,-0.06878306878306883
2025-08-11,51200,52700,51000,51700,987533,-0.02083333333333337
2025-08-12,52800,53100,51500,51700,799472,0.0
2025-08-13,52100,52600,49950,51900,1040917,0.003868471953578423
2025-08-14,51700,54500,51600,54500,1045090,0.050096339113680166
2025-08-18,53700,53800,52600,53300,639061,-0.022018348623853212
2025-08-19,53100,53500,50000,50200,1017217,-0.05816135084427765
2025-08-20,48250,49600,47550,49250,1076766,-0.018924302788844605
2025-08-21,50000,51400,49500,51100,953732,0.03756345177664966
2025-08-22,51500,54100,51400,53300,1134626,0.04305283757338563
2025-08-25,55100,55100,52100,53200,887127,-0.0018761726078799779
2025-08-26,53800,53900,50800,51700,1407027,-0.02819548872180455
2025-08-27,52400,52700,50000,50800,1187705,-0.01740812379110257
2025-08-28,51000,52200,50300,51400,707720,0.011811023622047223
2025-08-29,51900,52100,50900,50900,507914,-0.009727626459143934
2025-09-01,51700,52500,50900,51100,608766,0.003929273084479323
2025-09-02,51800,55900,51700,54400,2687373,0.06457925636007822
2025-09-03,55700,55900,53000,53100,1436453,-0.023897058823529438
2025-09-04,53200,53800,52300,53300,581838,0.0037664783427495685
2025-09-05,53000,53200,51900,52400,510761,-0.016885553470919357
2025-09-08,52000,52400,51200,51900,548561,-0.009541984732824416
2025-09-09,52200,52400,51400,51700,521760,-0.003853564547206201
2025-09-10,51900,53700,51900,53600,888960,0.03675048355899424
2025-09-11,53900,54600,53300,54600,1124752,0.018656716417910557
2025-09-12,54500,55100,53700,54800,842810,0.00366300366300365
2025-09-15,55400,58500,55300,55800,2123487,0.018248175182481674
2025-09-16,56100,60400,55700,59600,3234495,0.06810035842293916
2025-09-17,58800,59500,57400,57600,1325331,-0.03355704697986572
2025-09-18,58700,61100,58000,59100,2133285,0.02604166666666674
2025-09-19,58900,59900,58000,59600,2745780,0.008460236886632888
2025-09-22,60400,60500,57000,57500,1242277,-0.03523489932885904
2025-09-23,57600,59700,56700,58600,957954,0.019130434782608674
2025-09-24,58800,61900,58600,60400,2458010,0.030716723549488067
2025-09-25,60600,61800,59200,59500,1216439,-0.01490066225165565
2025-09-26,59700,60100,57600,57900,873375,-0.026890756302521024
2025-09-29,57900,59600,57700,59300,798758,0.024179620034542326
2025-09-30,59200,60500,58500,59500,917874,0.003372681281618828
2025-10-01,59900,62400,59100,60700,1541383,0.020168067226890685
2025-10-02,60700,61000,58600,59800,1171845,-0.014827018121911006
2025-10-10,59300,59500,56700,57900,1331504,-0.0317725752508361
2025-10-13,56800,57900,55100,55400,1355668,-0.04317789291882557
2025-10-14,55600,55700,51000,51500,2107767,-0.0703971119133574
2025-10-15,52500,53700,52000,53400,930413,0.03689320388349504
2025-10-16,53900,54200,52500,52700,908469,-0.01310861423220977
2025-10-17,52600,53200,51100,51300,1043812,-0.026565464895635715
2025-10-20,52000,53200,51900,52700,746331,0.02729044834308003
2025-10-21,54200,54400,53200,53700,725573,0.018975332068311257
2025-10-22,54600,55800,52900,55100,1107833,0.026070763500931182
2025-10-23,55700,57200,54450,55800,1357360,0.012704174228675091
2025-10-24,56100,56100,53900,55000,878771,-0.014336917562724039
2025-10-27,55000,57600,54800,56300,1442248,0.023636363636363678
2025-10-28,57200,57300,55300,55800,790654,-0.008880994671403242
2025-10-29,56000,56600,54300,55000,790084,-0.014336917562724039
2025-10-30,60200,65900,59600,63000,10259297,0.1454545454545455
2025-10-31,61700,62800,58700,59900,3364763,-0.049206349206349254
2025-11-03,61500,61700,58500,59400,1822226,-0.008347245409014992
2025-11-04,59300,60200,58500,59300,1231977,-0.0016835016835017313
2025-11-05,58400,58400,52700,54500,3423438,-0.08094435075885331
2025-11-06,55500,56400,52500,52700,1983666,-0.03302752293577982
2025-11-07,51300,54400,50900,52500,2010990,-0.003795066413662229
2025-11-10,52500,53500,51800,53100,976828,0.011428571428571344
2025-11-11,53100,54600,52700,52900,1081915,-0.0037664783427495685
2025-11-12,53000,54500,52900,53800,866288,0.017013232514177634
2025-11-13,53800,54300,52800,54300,1162769,0.009293680297397744
2025-11-14,53300,54500,52400,53100,1116481,-0.02209944751381221
2025-11-17,53500,54100,52200,53400,667862,0.005649717514124353
2025-11-18,53400,53800,50300,50400,1282170,-0.0561797752808989
2025-11-19,51000,51500,48100,50200,1170479,-0.003968253968253954
2025-11-20,50200,51100,50000,50500,885432,0.005976095617529875
2025-11-21,49450,49800,48200,48600,806246,-0.03762376237623766
2025-11-24,48500,49250,45200,47400,2207707,-0.024691358024691357
2025-11-25,47500,48300,45850,46200,1339295,-0.025316455696202556
2025-11-26,46250,47300,45550,46650,1043070,0.009740259740259827
2025-11-27,47150,47600,46350,46350,808740,-0.006430868167202619
2025-11-28,46350,47200,46000,46200,716188,-0.003236245954692518
2025-12-01,46200,46600,45200,45350,807711,-0.018398268398268414
2025-12-02,45400,45850,44750,45550,678895,0.004410143329658167
2025-12-03,45950,47200,45950,46800,847787,0.027442371020856227
2025-12-04,46900,47200,45700,46150,629736,-0.01388888888888884
2025-12-05,46150,47250,45950,47200,696691,0.02275189599133265
2025-12-08,47800,48400,47000,48350,1012553,0.02436440677966112
