date,open,high,low,close,volume,Change
2025-06-24,100000,100000,91800,97000,987777,-0.004106776180698102
2025-06-25,92300,92300,84100,85500,1352050,-0.11855670103092786
2025-06-26,80300,80300,72900,78500,1946773,-0.08187134502923976
2025-06-27,78500,85900,77500,84500,6729996,0.07643312101910826
2025-06-30,80100,80900,73500,75100,3969826,-0.1112426035502958
2025-07-01,77000,82200,76100,80800,1888255,0.07589880159786944
2025-07-02,84600,84900,80500,80600,1182550,-0.0024752475247524774
2025-07-03,79000,83700,77600,77900,1185032,-0.03349875930521096
2025-07-04,79800,81000,77300,79900,1026917,0.025673940949935803
2025-07-07,83000,85200,79200,79400,1325075,-0.006257822277847325
2025-07-08,82300,82400,78700,81500,830075,0.026448362720403074
2025-07-09,82500,83500,80600,81400,710713,-0.0012269938650306678
2025-07-10,80800,82700,77500,81000,1708009,-0.004914004914004955
2025-07-11,81000,84500,80200,81800,1755449,0.009876543209876631
2025-07-14,80100,80400,75000,76800,1438981,-0.06112469437652812
2025-07-15,76800,77800,75600,77200,589633,0.005208333333333259
2025-07-16,75400,76500,74000,75500,748899,-0.022020725388601003
2025-07-17,77700,78000,73600,74700,772591,-0.01059602649006619
2025-07-18,74700,75300,74000,74900,309855,0.0026773761713521083
2025-07-21,75100,75400,74300,74600,363227,-0.004005340453938633
2025-07-22,74200,74500,71500,71900,619424,-0.036193029490616646
2025-07-23,72200,73200,68800,69800,669035,-0.029207232267037586
2025-07-24,71400,71900,68300,68600,647890,-0.017191977077363862
2025-07-25,68600,72800,68600,71700,933628,0.04518950437317781
2025-07-28,72700,72900,70200,70500,340401,-0.01673640167364021
2025-07-29,71900,73000,70700,71200,412284,0.0099290780141843
2025-07-30,71200,73000,71200,71800,286782,0.008426966292134797
2025-07-31,72200,72400,69400,70300,434802,-0.02089136490250698
2025-08-01,69800,69800,67500,68900,313491,-0.019914651493598834
2025-08-04,68500,70500,68000,68700,389353,-0.002902757619738794
2025-08-05,70100,70400,68000,70300,544720,0.02328966521106257
2025-08-06,72500,72600,66000,67500,7564714,-0.03982930298719778
2025-08-07,69100,70200,67700,69600,1517177,0.03111111111111109
2025-08-08,70700,70800,68300,69000,584263,-0.008620689655172376
2025-08-11,68600,68700,67000,67400,490348,-0.023188405797101463
2025-08-12,67900,69700,67400,67700,510538,0.004451038575667754
2025-08-13,68800,69600,68400,68800,520296,0.01624815361890697
2025-08-14,68900,73600,68600,72200,1222826,0.04941860465116288
2025-08-18,72700,73000,71200,72400,485766,0.0027700831024930483
2025-08-19,72700,72800,70300,71000,483241,-0.01933701657458564
2025-08-20,68300,68900,66200,68500,486959,-0.035211267605633756
2025-08-21,68600,69000,67100,67100,384284,-0.020437956204379604
2025-08-22,66900,68150,66800,67200,226812,0.0014903129657228842
2025-08-25,68000,69200,67400,68900,267971,0.02529761904761907
2025-08-26,68800,68900,67400,68100,236360,-0.011611030478954953
2025-08-27,68800,68900,67600,68300,149564,0.002936857562408246
2025-08-28,68000,68100,66800,67200,222689,-0.016105417276720324
2025-08-29,67500,68800,67300,68000,203913,0.011904761904761862
2025-09-01,67500,67700,65000,65700,370408,-0.0338235294117647
2025-09-02,66000,68200,66000,66700,341316,0.015220700152207112
2025-09-03,66500,66600,65200,66100,223160,-0.008995502248875575
