date,open,high,low,close,volume,Change
2025-06-24,17630,18180,17600,18060,1472576,0.036739380022962065
2025-06-25,18290,18810,18060,18790,1683146,0.040420819490586846
2025-06-26,18840,18980,18410,18520,1732163,-0.014369345396487487
2025-06-27,18600,18740,18260,18300,942054,-0.011879049676025932
2025-06-30,18190,18430,17850,18260,1113926,-0.002185792349726823
2025-07-01,18430,18780,18320,18470,1215200,0.01150054764512598
2025-07-02,18470,18640,18180,18530,893957,0.003248511099079643
2025-07-03,18600,18990,18600,18930,1075314,0.021586616297895267
2025-07-04,19170,19200,18850,18950,1101504,0.0010565240359217132
2025-07-07,18990,19340,18870,19080,838348,0.0068601583113456766
2025-07-08,19200,20350,19110,20150,2049817,0.056079664570230614
2025-07-09,20400,20550,20100,20150,1132849,0.0
2025-07-10,20150,20450,20000,20250,1258001,0.00496277915632759
2025-07-11,20300,21150,20300,21000,1575768,0.03703703703703698
2025-07-14,21400,21900,21200,21850,2109219,0.040476190476190554
2025-07-15,22400,22400,21700,22000,1901919,0.006864988558352492
2025-07-16,21850,21900,20600,20700,2060965,-0.05909090909090908
2025-07-17,21050,21200,20600,20950,1027438,0.012077294685990392
2025-07-18,21100,21150,20300,20500,1056591,-0.021479713603818618
2025-07-21,20200,20500,20100,20250,764611,-0.012195121951219523
2025-07-22,20300,20600,20050,20200,761021,-0.0024691358024691024
2025-07-23,20350,20500,19970,20100,763180,-0.004950495049504955
2025-07-24,20300,20600,20050,20250,841919,0.00746268656716409
2025-07-25,20100,20600,19760,19850,1600442,-0.01975308641975304
2025-07-28,19610,19650,18750,19000,2154455,-0.04282115869017633
2025-07-29,18800,19350,18790,19240,1122958,0.012631578947368327
2025-07-30,19230,19600,19130,19500,900475,0.013513513513513598
2025-07-31,19310,19550,19200,19420,675453,-0.004102564102564155
2025-08-01,19200,19200,18650,18650,1091080,-0.03964984552008244
2025-08-04,18500,19040,18500,18930,901527,0.01501340482573732
2025-08-05,19200,19450,19140,19230,1136092,0.015847860538827252
2025-08-06,19140,19410,19110,19340,670991,0.005720228809152461
2025-08-07,19340,19440,19210,19370,738073,0.0015511892450879028
2025-08-08,19270,19440,19250,19400,401003,0.0015487867836860847
2025-08-11,19400,19420,19160,19270,342249,-0.006701030927835028
2025-08-12,19240,19710,19240,19490,714601,0.011416709911779899
2025-08-13,19530,19640,19350,19490,592157,0.0
2025-08-14,19540,19690,19420,19460,1245412,-0.0015392508978963049
2025-08-18,19420,19490,19150,19260,711220,-0.010277492291880796
2025-08-19,19400,19400,19200,19300,451394,0.0020768431983384517
2025-08-20,19350,19390,19030,19270,642873,-0.0015544041450776813
2025-08-21,19600,19600,19230,19270,490438,0.0
2025-08-22,19350,19490,19120,19160,420937,-0.005708354955889949
2025-08-25,19230,19400,19200,19340,471280,0.009394572025052117
2025-08-26,19220,19280,19090,19110,1056558,-0.011892450879007255
2025-08-27,19170,19200,19080,19180,408581,0.00366300366300365
2025-08-28,19170,19350,19090,19190,620877,0.0005213764337852478
2025-08-29,19220,19250,19020,19020,882363,-0.008858780614903639
2025-09-01,19120,19120,18890,18920,676494,-0.00525762355415349
2025-09-02,18910,19090,18910,19090,506584,0.008985200845665897
2025-09-03,18960,19150,18960,19100,432075,0.0005238344683080598
2025-09-04,18910,19100,18910,19040,538217,-0.003141361256544517
2025-09-05,18930,19060,18910,19010,419479,-0.0015756302521008347
2025-09-08,18980,19060,18830,19000,644316,-0.0005260389268806342
2025-09-09,19080,19150,18950,19150,1074932,0.007894736842105177
2025-09-10,19400,20000,19050,19890,1513778,0.03864229765013061
2025-09-11,19930,19980,19460,19730,1278979,-0.008044243338360957
2025-09-12,19940,20050,19720,19760,943900,0.001520527116066983
2025-09-15,19840,20100,19810,19990,1105425,0.011639676113360364
