date,open,high,low,close,volume,Change
2025-06-24,55900,56800,54400,55600,342098,0.029629629629629672
2025-06-25,55500,55500,52100,52400,523778,-0.05755395683453235
2025-06-26,52200,52400,48550,50500,579325,-0.0362595419847328
2025-06-27,50500,51500,49750,50100,210545,-0.007920792079207928
2025-06-30,50000,51600,49900,50300,262823,0.003992015968063978
2025-07-01,50400,51000,49250,50000,296100,-0.005964214711729587
2025-07-02,50000,50000,47550,48750,428863,-0.025000000000000022
2025-07-03,48750,49150,43800,44550,1036013,-0.08615384615384614
2025-07-04,44450,44550,41100,42300,759162,-0.0505050505050505
2025-07-07,41650,44750,41450,44450,510006,0.05082742316784872
2025-07-08,45450,46700,44000,45900,427003,0.03262092238470182
2025-07-09,47250,48200,46550,47650,346625,0.03812636165577343
2025-07-10,48600,50300,47850,49250,351806,0.033578174186778664
2025-07-11,49950,50300,47350,47350,457730,-0.03857868020304567
2025-07-14,46400,48350,46050,47700,229735,0.007391763463569179
2025-07-15,47750,49200,46850,48900,250065,0.02515723270440251
2025-07-16,49500,50600,48400,49400,406102,0.010224948875255713
2025-07-17,49150,50000,48800,49600,182965,0.004048582995951344
2025-07-18,49600,50900,48850,50600,288066,0.02016129032258074
2025-07-21,51200,53800,50900,53000,404929,0.04743083003952564
2025-07-22,53000,57500,52300,57500,987301,0.08490566037735858
2025-07-23,56800,56800,53800,56600,467685,-0.01565217391304352
2025-07-24,56400,58800,56400,57800,410552,0.021201413427561766
2025-07-25,59100,65600,56800,64400,1163280,0.11418685121107264
2025-07-28,65700,66600,63500,65700,505533,0.020186335403726607
2025-07-29,66500,68700,64700,66700,422319,0.015220700152207112
2025-07-30,66300,69200,65200,68200,335557,0.022488755622188883
2025-07-31,70200,73300,63200,65700,1286728,-0.03665689149560114
2025-08-01,66300,66500,62100,64700,757952,-0.015220700152207
2025-08-04,64100,68700,62700,67100,453506,0.03709428129829995
2025-08-05,69100,75000,68400,73900,711094,0.10134128166915057
2025-08-06,73300,76800,73050,76400,390826,0.03382949932341006
2025-08-07,75900,81800,75600,81800,655086,0.07068062827225141
2025-08-08,84800,85550,81300,83100,545053,0.01589242053789741
2025-08-11,81600,83300,79600,80700,461250,-0.028880866425992746
2025-08-12,80800,83800,79500,81000,312488,0.0037174721189590088
2025-08-13,82000,83600,79900,81500,268077,0.006172839506172867
2025-08-14,80200,84200,78600,83000,418114,0.018404907975460016
2025-08-18,82300,84500,81900,83000,306026,0.0
2025-08-19,83100,83800,78800,79800,357187,-0.03855421686746985
2025-08-20,76300,79000,75200,77900,590050,-0.023809523809523836
2025-08-21,78700,80900,77700,80500,264700,0.033376123234916566
2025-08-22,81800,81800,79000,79600,286865,-0.011180124223602483
2025-08-25,81500,82000,77700,79300,283487,-0.0037688442211055717
2025-08-26,80700,81000,75400,78900,448963,-0.0050441361916772065
2025-08-27,79400,87000,78900,85700,863598,0.08618504435994923
2025-08-28,84900,86600,83100,84300,343789,-0.016336056009334854
2025-08-29,85400,93600,84900,92000,798707,0.09134045077105579
2025-09-01,91200,92500,89500,92100,388194,0.0010869565217390686
2025-09-02,94900,96200,91100,93300,402734,0.013029315960912058
2025-09-03,91900,95400,91000,93500,254299,0.002143622722400762
2025-09-04,93200,94500,92200,93100,219244,-0.004278074866310155
2025-09-05,92900,94700,90500,91000,315073,-0.022556390977443663
2025-09-08,90800,91300,88900,90900,209194,-0.001098901098901095
2025-09-09,92400,93500,86600,88300,440488,-0.028602860286028653
2025-09-10,87900,90900,87400,90400,252617,0.023782559456398733
2025-09-11,91300,95700,90400,95000,387941,0.05088495575221241
