date,open,high,low,close,volume,Change
2025-06-24,41700,43400,41600,42700,147275,0.03264812575574361
2025-06-25,43150,44900,43000,43800,221974,0.025761124121779888
2025-06-26,44450,44600,42300,42600,145573,-0.0273972602739726
2025-06-27,43150,43600,42150,42600,103615,0.0
2025-06-30,42900,43900,42650,43100,104511,0.011737089201877993
2025-07-01,43150,43850,42700,43100,53649,0.0
2025-07-02,43350,43350,42250,43000,47944,-0.002320185614849146
2025-07-03,43000,43300,41850,42200,83998,-0.018604651162790753
2025-07-04,42200,42300,41400,41550,57324,-0.0154028436018957
2025-07-07,42050,42200,41400,41800,49683,0.006016847172081841
2025-07-08,41950,43050,41700,42450,120422,0.015550239234449759
2025-07-09,42850,43450,42500,43200,132161,0.0176678445229681
2025-07-10,43800,44150,43000,43800,101673,0.01388888888888884
2025-07-11,43950,45350,43950,45350,139264,0.035388127853881235
2025-07-14,49800,49950,44350,44900,443570,-0.009922822491730932
2025-07-15,44150,44250,42250,42750,345462,-0.04788418708240538
2025-07-16,42850,43700,42600,42950,169502,0.004678362573099504
2025-07-17,42850,45350,42850,45000,297775,0.047729918509895164
2025-07-18,45000,45050,43500,43800,110334,-0.026666666666666616
2025-07-21,43700,43800,42600,42600,93584,-0.0273972602739726
2025-07-22,42750,43300,42300,42700,66338,0.0023474178403755097
2025-07-23,42750,42800,41650,41900,81985,-0.0187353629976581
2025-07-24,42400,42550,41050,41150,98938,-0.017899761336515496
2025-07-25,41500,41800,41100,41250,54013,0.002430133657351119
2025-07-28,41200,41750,40100,40250,109115,-0.024242424242424288
2025-07-29,40450,40700,40100,40600,46803,0.008695652173912993
2025-07-30,40600,41550,40600,40800,50723,0.0049261083743843415
2025-07-31,41300,41300,40250,40500,49517,-0.007352941176470562
2025-08-01,40850,40900,39950,40050,92603,-0.011111111111111072
2025-08-04,39800,40600,39650,40250,64874,0.004993757802746579
2025-08-05,40900,41350,40500,40700,44493,0.011180124223602483
2025-08-06,41050,41850,40900,41800,72384,0.027027027027026973
2025-08-07,42000,42700,41700,42600,78082,0.019138755980861344
2025-08-08,42800,42800,41750,42150,63286,-0.010563380281690127
2025-08-11,42250,42450,41500,41750,49208,-0.009489916963226541
2025-08-12,42000,42550,41600,41600,51579,-0.003592814371257469
2025-08-13,42100,42150,41400,41450,34216,-0.0036057692307692735
2025-08-14,41600,43700,41400,42700,109515,0.030156815440289586
2025-08-18,42700,43000,42450,42450,47820,-0.005854800936768156
2025-08-19,42800,43000,40000,42500,56234,0.0011778563015312216
2025-08-20,42250,43050,41700,42900,124261,0.009411764705882453
2025-08-21,42950,43100,42100,42300,42447,-0.013986013986013957
2025-08-22,42300,43000,41950,42500,31174,0.004728132387706863
2025-08-25,42500,42700,42100,42450,27869,-0.0011764705882353343
2025-08-26,42650,42650,42150,42400,21522,-0.0011778563015312216
2025-08-27,42600,42600,41800,42150,26220,-0.005896226415094352
2025-08-28,42150,42700,42150,42300,38648,0.003558718861210064
2025-08-29,42500,43750,42400,43650,91002,0.03191489361702127
2025-09-01,43600,43850,43150,43600,53941,-0.001145475372279492
2025-09-02,43500,45000,43250,44850,102738,0.028669724770642224
2025-09-03,44600,44800,43850,44150,73227,-0.015607580824972156
2025-09-04,44150,44300,43250,43400,54697,-0.016987542468856143
2025-09-05,43750,44900,43500,44750,83217,0.031105990783410142
2025-09-08,44700,44800,44000,44200,49469,-0.012290502793296132
2025-09-09,44250,44750,43900,44300,59331,0.002262443438914019
2025-09-10,45100,46950,45100,46600,153223,0.05191873589164775
2025-09-11,46500,49500,46450,49500,339285,0.0622317596566524
2025-09-12,49600,52000,49250,51400,247408,0.03838383838383841
2025-09-15,50000,53800,49950,53700,279126,0.04474708171206232
2025-09-16,53700,53900,51900,53400,224688,-0.005586592178770999
2025-09-17,52700,53400,52400,52800,149224,-0.011235955056179803
2025-09-18,52900,54100,52200,53200,85439,0.007575757575757569
2025-09-19,53200,54600,53000,54000,69717,0.015037593984962516
2025-09-22,53800,53800,50500,53800,83717,-0.0037037037037036535
2025-09-23,53500,54100,53100,53800,43912,0.0
2025-09-24,53400,53900,52300,53800,84664,0.0
2025-09-25,53800,54200,53000,54100,62409,0.005576208178438735
2025-09-26,54200,54400,51500,52000,75222,-0.038817005545286554
2025-09-29,52200,53200,51500,51700,25435,-0.005769230769230749
2025-09-30,51400,51700,50200,51100,72162,-0.011605415860735047
2025-10-01,55000,55000,50800,52300,108171,0.023483365949119372
2025-10-02,51900,52200,50600,50900,70930,-0.026768642447418722
2025-10-10,50900,51400,49900,50500,70065,-0.007858546168958758
2025-10-13,50100,50900,49450,50500,42957,0.0
2025-10-14,50700,51000,49450,49800,48757,-0.013861386138613874
2025-10-15,50100,50800,49400,50700,48358,0.01807228915662651
2025-10-16,50700,51100,49800,50600,61731,-0.0019723865877712132
2025-10-17,50100,50200,48850,49100,53017,-0.029644268774703608
2025-10-20,49200,49550,48000,49300,33653,0.004073319755600879
2025-10-21,49600,50300,48850,49350,33223,0.0010141987829614951
2025-10-22,49700,50400,48900,49950,101233,0.012158054711246091
2025-10-23,50100,50500,49350,49950,42134,0.0
2025-10-24,50500,50500,49750,50300,39260,0.00700700700700696
2025-10-27,50100,50700,49750,50500,42330,0.003976143141153132
2025-10-28,50400,50800,49550,50400,45424,-0.001980198019801982
2025-10-29,50400,50700,49900,50200,44467,-0.003968253968253954
2025-10-30,50000,50900,49950,50800,39688,0.01195219123505975
2025-10-31,50400,51400,50200,50500,37081,-0.0059055118110236116
2025-11-03,50900,51300,49600,49750,70538,-0.014851485148514865
2025-11-04,49600,49700,48400,48700,84700,-0.021105527638190957
2025-11-05,48700,49600,48200,49550,56083,0.017453798767967044
2025-11-06,49900,51700,49900,51300,82903,0.035317860746720386
2025-11-07,52300,52500,50300,51800,110397,0.00974658869395717
2025-11-10,52000,55800,51800,55500,151312,0.0714285714285714
2025-11-11,55400,57000,55400,56100,129118,0.0108108108108107
2025-11-12,55700,56000,54600,55900,43698,-0.0035650623885917776
2025-11-13,55700,56200,54300,54700,38408,-0.02146690518783545
2025-11-14,53500,55200,52700,53000,67205,-0.031078610603290646
2025-11-17,53500,53500,52100,52600,34600,-0.007547169811320753
2025-11-18,52400,52400,50000,50300,62419,-0.04372623574144485
2025-11-19,50700,50700,49500,49600,46095,-0.013916500994035741
2025-11-20,50100,50600,49850,50100,26396,0.010080645161290258
2025-11-21,49750,50100,49150,49350,36877,-0.014970059880239472
2025-11-24,49850,50100,48550,48550,150717,-0.016210739614994973
2025-11-25,49000,49950,48350,48450,43862,-0.002059732234809486
2025-11-26,49150,49500,48250,49500,45914,0.021671826625387025
2025-11-27,49900,50200,48800,48800,38219,-0.014141414141414121
2025-11-28,48800,49350,48700,49300,34485,0.010245901639344357
2025-12-01,49750,51100,49400,50500,59732,0.024340770791074995
2025-12-02,51000,51000,50000,50700,98035,0.003960396039603964
2025-12-03,50700,50800,50000,50600,54563,-0.0019723865877712132
2025-12-04,50800,50900,49800,50200,56377,-0.007905138339920903
2025-12-05,50800,50800,49550,50000,67822,-0.003984063745019917
2025-12-08,50600,50600,49400,49900,49549,-0.0020000000000000018
2025-12-09,49900,50400,49450,50000,53067,0.002004008016031955
2025-12-10,50000,50200,49650,49800,32230,-0.0040000000000000036
2025-12-11,50200,50800,49850,50500,61207,0.014056224899598346
2025-12-12,50800,51400,50200,50700,55481,0.003960396039603964
2025-12-15,50700,51200,49900,50600,49035,-0.0019723865877712132
2025-12-16,50300,51000,49800,49900,115757,-0.013833992094861691
2025-12-17,50300,50400,49650,50100,49512,0.004008016032064132
2025-12-18,49800,50400,49600,49950,42383,-0.0029940119760478723
2025-12-19,50300,51300,49800,50200,80915,0.005005005005005003
2025-12-22,50200,50400,49900,50100,46227,-0.0019920318725099584
2025-12-23,50200,51100,49950,50600,59213,0.009980039920159722
2025-12-24,51100,51600,50300,51600,81278,0.01976284584980248
2025-12-26,51100,51500,49750,49900,89147,-0.032945736434108475
2025-12-29,49800,50000,49500,49850,45503,-0.0010020040080159776
2025-12-30,49800,50100,49550,49750,24908,-0.0020060180541624506
2026-01-02,50100,50100,48000,48700,88164,-0.021105527638190957
2026-01-05,48700,50200,48700,50200,70943,0.030800821355236208
2026-01-06,49800,50000,48950,49000,55625,-0.0239043824701195
2026-01-07,48950,49200,47800,48000,82731,-0.020408163265306145
2026-01-08,47900,48000,45500,45950,137428,-0.04270833333333335
2026-01-09,46400,46600,45800,46300,56618,0.007616974972796564
2026-01-12,46550,46550,44850,45100,101909,-0.02591792656587477
2026-01-13,45300,45700,44950,45300,67072,0.0044345898004434225
2026-01-14,45400,46500,45100,46200,48257,0.019867549668874274
2026-01-15,46400,46800,46000,46400,49896,0.0043290043290042934
