date,open,high,low,close,volume,Change
2025-06-24,158000,164100,158000,163700,53496,0.030207677784770404
2025-06-25,164100,165000,158700,162000,52868,-0.010384850335980467
2025-06-26,164000,170700,163600,165600,107699,0.022222222222222143
2025-06-27,170000,172400,165000,167000,57545,0.008454106280193274
2025-06-30,166600,171700,165400,171700,47921,0.028143712574850266
2025-07-01,170000,173000,166400,167000,84877,-0.02737332556785088
2025-07-02,165000,166800,160100,164500,80338,-0.014970059880239472
2025-07-03,165000,170600,164200,170600,56496,0.03708206686930082
2025-07-04,169200,170100,164600,164800,46850,-0.03399765533411492
2025-07-07,164800,168800,162500,168500,18681,0.022451456310679685
2025-07-08,168500,171300,165100,170000,57443,0.008902077151335286
2025-07-09,168500,173600,167000,168800,56345,-0.007058823529411784
2025-07-10,168800,170800,167100,170000,42707,0.007109004739336511
2025-07-11,168400,183300,168100,179500,170645,0.055882352941176494
2025-07-14,177800,179300,173500,174300,65024,-0.028969359331476374
2025-07-15,172600,175100,170200,174700,51741,0.0022948938611588865
2025-07-16,173100,175800,171800,173500,38436,-0.006868918145392144
2025-07-17,174000,182400,174000,182400,90145,0.05129682997118157
2025-07-18,180900,181700,178100,180700,56167,-0.009320175438596534
2025-07-21,179000,182300,178400,181300,44711,0.003320420586607531
2025-07-22,180300,182800,178900,180800,54021,-0.0027578599007170856
2025-07-23,180800,180800,164000,170300,203573,-0.058075221238938046
2025-07-24,169800,174700,168700,174000,64071,0.02172636523781568
2025-07-25,172300,177300,171300,176900,50140,0.016666666666666607
2025-07-28,179000,184000,175100,183700,70694,0.03843979649519502
2025-07-29,183700,185500,181800,184400,57220,0.003810560696788201
2025-07-30,182600,187300,182100,183400,37941,-0.005422993492407824
2025-07-31,182300,183800,179000,182100,45711,-0.007088331515812452
2025-08-01,178500,179900,170500,170500,62749,-0.0637012630422844
2025-08-04,171000,173900,170000,172300,35499,0.010557184750733084
2025-08-05,174500,175100,172300,175100,39885,0.016250725478816008
2025-08-06,173100,174900,171700,173300,40627,-0.010279840091376391
2025-08-07,174300,175200,171900,174700,38018,0.008078476630121179
2025-08-08,173700,176300,173100,173800,22903,-0.005151688609044025
2025-08-11,173800,177700,168500,176700,34405,0.01668584579976984
2025-08-12,175000,178800,172600,174000,43769,-0.015280135823429575
2025-08-13,174800,178400,173100,176000,29704,0.011494252873563315
