date,open,high,low,close,volume,Change
2025-06-24,24400,25400,24250,24900,1057871,0.04402515723270439
2025-06-25,25100,25100,24150,24500,479585,-0.016064257028112428
2025-06-26,24700,25000,23950,24550,472748,0.0020408163265306367
2025-06-27,24700,24700,23550,23550,399069,-0.04073319755600813
2025-06-30,23550,24100,23450,23450,304023,-0.00424628450106157
2025-07-01,24100,24750,23900,24000,493900,0.023454157782516027
2025-07-02,23850,24000,23300,23600,359453,-0.01666666666666672
2025-07-03,23750,24700,23550,24450,592019,0.03601694915254239
2025-07-04,24600,24750,24150,24400,322527,-0.002044989775051076
2025-07-07,24550,24550,23800,23800,278282,-0.024590163934426257
2025-07-08,23600,24100,23250,23300,378950,-0.021008403361344574
2025-07-09,23350,23900,23200,23750,329767,0.0193133047210301
2025-07-10,23900,24000,23350,24000,470741,0.010526315789473717
2025-07-11,24000,24600,23950,24150,443221,0.006250000000000089
2025-07-14,24550,24550,24100,24350,325359,0.008281573498964745
2025-07-15,24350,24400,24000,24150,239055,-0.008213552361396315
2025-07-16,24250,24450,24050,24150,176822,0.0
2025-07-17,24250,24450,23775,24050,247928,-0.0041407867494823725
2025-07-18,24250,26650,24250,25350,4098953,0.054054054054053946
2025-07-21,25150,25900,24950,25650,607458,0.01183431952662728
2025-07-22,26600,26800,25350,25550,1018460,-0.003898635477582846
2025-07-23,25750,27400,25600,26800,1602850,0.048923679060665304
2025-07-24,26800,27000,26200,26450,637113,-0.013059701492537323
2025-07-25,26650,26800,25600,25800,447925,-0.02457466918714557
2025-07-28,25750,26350,25450,25750,470316,-0.0019379844961240345
2025-07-29,25450,25750,24650,25700,502149,-0.001941747572815511
2025-07-30,26450,26500,25550,26000,545202,0.011673151750972721
2025-07-31,26050,26150,23850,23950,918932,-0.0788461538461539
2025-08-01,23900,24000,22650,22650,432839,-0.05427974947807934
2025-08-04,22500,23050,22500,22650,289109,0.0
2025-08-05,23100,23950,23000,23500,318435,0.03752759381898452
2025-08-06,23700,24100,23500,24000,253795,0.02127659574468077
2025-08-07,24000,24050,23700,23850,159162,-0.006249999999999978
2025-08-08,23750,24000,23600,23650,153960,-0.008385744234800874
2025-08-11,23900,26250,23850,24950,1172585,0.05496828752642702
2025-08-12,24750,25200,24650,24950,241457,0.0
2025-08-13,25250,25250,24450,24550,245348,-0.01603206412825653
2025-08-14,24600,25600,24550,25600,552347,0.042769857433808456
2025-08-18,25250,25250,24300,24350,263569,-0.048828125
2025-08-19,24450,24600,23600,24000,187111,-0.014373716632443578
2025-08-20,23600,23900,23000,23300,269534,-0.029166666666666674
2025-08-21,23400,23500,23050,23100,152465,-0.008583690987124415
2025-08-22,23800,24150,23200,23250,203331,0.006493506493506551
2025-08-25,23550,23850,23450,23850,187552,0.02580645161290329
2025-08-26,23850,24100,23450,23500,251379,-0.014675052410901501
2025-08-27,23800,23800,23250,23450,110304,-0.0021276595744680327
2025-08-28,23450,23600,22950,22950,195992,-0.021321961620469065
2025-08-29,23050,23100,22400,22450,185354,-0.02178649237472763
2025-09-01,22200,22400,21600,21700,194409,-0.03340757238307346
2025-09-02,21850,22050,21550,21750,157407,0.0023041474654377225
2025-09-03,21700,22000,21600,21850,117622,0.0045977011494253706
2025-09-04,22050,22200,21800,21900,116025,0.0022883295194509046
2025-09-05,22000,22100,21750,21850,104225,-0.0022831050228310223
2025-09-08,21900,22200,21800,21950,125362,0.004576659038901587
2025-09-09,22100,22200,21900,22050,125993,0.004555808656036442
2025-09-10,22100,22500,22100,22500,163670,0.020408163265306145
2025-09-11,22500,22800,22300,22800,342983,0.01333333333333342
2025-09-12,22950,23150,22800,22900,243962,0.004385964912280604
2025-09-15,23000,23250,22900,22950,170937,0.0021834061135370675
2025-09-16,23000,23100,22750,22850,174833,-0.004357298474945481
2025-09-17,22950,23050,22600,22800,135302,-0.002188183807439792
2025-09-18,22850,23000,22600,22950,208651,0.006578947368421018
2025-09-19,22900,23100,22550,22700,201669,-0.01089324618736387
2025-09-22,22700,22850,22200,22200,217837,-0.022026431718061623
2025-09-23,22050,22100,21600,21700,322728,-0.022522522522522515
2025-09-24,22650,22900,21700,21900,487618,0.009216589861751112
2025-09-25,22200,22300,21850,22150,209586,0.011415525114155223
2025-09-26,22000,22050,21350,21400,224282,-0.033860045146726914
2025-09-29,21450,21600,21000,21200,225576,-0.009345794392523366
2025-09-30,21100,21250,20850,21000,163565,-0.009433962264150941
2025-10-01,21200,21250,20700,20800,231206,-0.00952380952380949
2025-10-02,20900,21300,20850,21300,350804,0.024038461538461453
2025-10-10,21050,21100,20400,20950,299889,-0.016431924882629123
2025-10-13,21500,21600,20900,21400,342999,0.021479713603818507
2025-10-14,21400,21850,21250,21600,344662,0.009345794392523255
2025-10-15,21750,22100,21500,21950,231738,0.01620370370370372
2025-10-16,22100,23000,22000,23000,630056,0.04783599088838275
2025-10-17,23000,26400,22700,25000,3430934,0.08695652173913038
2025-10-20,25050,25400,24000,25200,1023974,0.008000000000000007
2025-10-21,26350,26400,25300,25450,1452839,0.009920634920634885
2025-10-22,26100,26200,24950,25700,806025,0.00982318271119853
2025-10-23,26000,27750,25400,26250,2737156,0.021400778210116655
2025-10-24,26500,27200,26500,27150,1185221,0.03428571428571425
2025-10-27,28600,29750,27450,28500,2546622,0.04972375690607733
2025-10-28,27950,28550,27300,28550,966456,0.0017543859649122862
2025-10-29,28100,28200,27350,27800,771401,-0.02626970227670755
2025-10-30,27900,28600,26550,26850,926121,-0.03417266187050361
2025-10-31,26300,27000,26200,26300,481953,-0.020484171322160183
2025-11-03,27000,30550,26600,29750,3137815,0.13117870722433467
2025-11-04,31200,32800,29450,29650,2879238,-0.003361344537815114
2025-11-05,28750,29250,27100,27750,2237640,-0.06408094435075884
2025-11-06,28100,28250,26400,26400,1646239,-0.048648648648648596
2025-11-07,25700,26800,25050,25400,1102565,-0.037878787878787845
2025-11-10,25500,26150,25100,26050,611218,0.025590551181102317
2025-11-11,26150,27050,25500,26050,834347,0.0
2025-11-12,26050,27100,25750,26800,691010,0.028790786948176494
2025-11-13,26800,27550,26250,27550,795818,0.027985074626865725
2025-11-14,26950,27550,25900,25950,734459,-0.05807622504537202
2025-11-17,26100,26700,25500,25850,434329,-0.003853564547206201
2025-11-18,25950,26300,24850,25050,506303,-0.030947775628626717
2025-11-19,25250,25450,24300,24650,420468,-0.015968063872255467
2025-11-20,25200,25750,24900,25400,318579,0.030425963488843744
2025-11-21,24600,24950,24250,24400,336839,-0.03937007874015752
2025-11-24,24650,24850,23750,23800,338248,-0.024590163934426257
2025-11-25,24000,24650,23450,23600,354074,-0.008403361344537785
2025-11-26,23900,25250,23900,25250,497226,0.06991525423728806
2025-11-27,25300,25600,25000,25050,275880,-0.007920792079207928
2025-11-28,25300,25450,24950,25400,268092,0.013972055888223478
2025-12-01,25750,26550,25600,25900,583186,0.019685039370078705
2025-12-02,26150,26800,25700,26600,415557,0.027027027027026973
2025-12-03,26650,26650,26000,26400,384507,-0.007518796992481258
2025-12-04,26500,26900,26050,26450,404994,0.0018939393939394478
2025-12-05,26450,26800,26250,26400,399857,-0.001890359168241984
2025-12-08,26700,28850,26700,28450,2507126,0.07765151515151514
2025-12-09,27900,29350,27500,28100,1355255,-0.012302284710017597
2025-12-10,28450,29000,27450,27600,597496,-0.017793594306049876
2025-12-11,27850,27950,26900,27250,666293,-0.0126811594202898
2025-12-12,27350,28500,27000,27700,750171,0.016513761467889854
2025-12-15,27350,30300,26900,28950,3571270,0.045126353790613694
2025-12-16,28900,29000,26550,26650,1401319,-0.07944732297063906
2025-12-17,26900,27900,26300,27150,806301,0.018761726078799335
2025-12-18,26100,26500,25700,25800,648674,-0.04972375690607733
2025-12-19,26150,26200,24850,25700,577357,-0.003875968992248069
2025-12-22,26150,26900,25800,26700,456255,0.03891050583657596
2025-12-23,26900,30750,26500,29750,8862916,0.11423220973782766
2025-12-24,30100,31250,29300,29450,5101424,-0.010084033613445342
2025-12-26,29850,30100,27900,28100,2170125,-0.04584040747028861
2025-12-29,27750,30450,27550,29900,3468288,0.06405693950177938
2025-12-30,29900,29900,28450,28750,1490196,-0.038461538461538436
2026-01-02,29000,29150,28150,29000,919322,0.008695652173912993
2026-01-05,29050,29550,28550,28850,766368,-0.005172413793103403
2026-01-06,29900,29950,28450,28900,969280,0.0017331022530329143
2026-01-07,29000,29150,27800,28350,789306,-0.01903114186851207
2026-01-08,28100,28250,26850,27150,968475,-0.042328042328042326
2026-01-09,27200,27350,26600,27050,445477,-0.0036832412523020164
2026-01-12,27350,27850,27075,27550,561778,0.01848428835489835
2026-01-13,27950,29900,27650,29150,1872028,0.05807622504537213
2026-01-14,31250,31300,29550,29750,2461586,0.020583190394511064
2026-01-15,31200,38650,30850,38650,17269595,0.29915966386554627
2026-01-16,42200,43350,40400,42000,11914240,0.08667529107373872
2026-01-19,41450,42250,40300,41700,4515525,-0.0071428571428571175
2026-01-20,44050,44900,39650,41700,5435825,0.0
2026-01-21,40100,45600,39950,42850,7256898,0.027577937649880147
2026-01-22,43600,43700,40350,40700,3119740,-0.05017502917152861
2026-01-23,40400,41850,39500,39600,1955671,-0.027027027027026973
2026-01-26,39000,41350,39000,40100,1711114,0.012626262626262541
2026-01-27,39700,40050,39000,39350,988173,-0.018703241895261846
2026-01-28,40250,41950,39850,40850,2898463,0.03811944091486663
2026-01-29,40750,41150,38950,40250,1628165,-0.014687882496939975
2026-01-30,40700,40750,38650,38650,1222636,-0.039751552795031064
2026-02-02,37650,39350,36900,37500,1000518,-0.02975420439844756
2026-02-03,38400,38900,37500,38750,640215,0.03333333333333344
2026-02-04,38450,39950,38200,39850,890555,0.028387096774193488
2026-02-05,41150,41950,39350,39550,1608071,-0.007528230865746499
2026-02-06,37750,38500,36500,37550,865158,-0.050568900126422234
2026-02-09,38650,39900,38000,39150,833517,0.04260985352862856
2026-02-10,40150,40150,38400,38550,607466,-0.01532567049808431
2026-02-11,38600,38650,37400,37600,527897,-0.024643320363164745
