date,open,high,low,close,volume,Change
2025-06-24,171000,185000,161800,183700,491623,0.11943936624009743
2025-06-25,179500,184300,172100,178100,214812,-0.030484485574305942
2025-06-26,181900,189700,175600,186200,180212,0.045480067377877686
2025-06-27,191000,191800,184500,190500,117445,0.02309344790547807
2025-06-30,187100,188200,170000,170600,275390,-0.10446194225721783
2025-07-01,172100,174600,167800,169400,108022,-0.007033997655334079
2025-07-02,171200,173100,167600,170800,78785,0.008264462809917328
2025-07-03,170900,172900,167700,169300,73648,-0.008782201405152179
2025-07-04,169300,174300,166200,166200,62976,-0.018310691080921426
2025-07-07,165300,168300,165000,167500,37208,0.007821901323706415
2025-07-08,165600,170100,165000,168800,58468,0.00776119402985076
2025-07-09,169400,169400,166400,168400,53053,-0.0023696682464454666
2025-07-10,169000,170200,166800,168300,41626,-0.00059382422802845
2025-07-11,169000,171900,167300,168400,43615,0.0005941770647652778
2025-07-14,168300,168300,164100,166100,80565,-0.013657957244655572
2025-07-15,165300,167000,161200,165400,60073,-0.004214328717639937
2025-07-16,165600,166100,163000,163700,43595,-0.010278113663845234
2025-07-17,164300,165000,162500,164100,32919,0.0024434941967013124
2025-07-18,165000,167300,162700,163800,41064,-0.001828153564899404
2025-07-21,162300,164200,162200,162700,31796,-0.006715506715506692
2025-07-22,162200,162900,157700,158900,70775,-0.023355869698832188
2025-07-23,160800,162500,158000,159200,74957,0.0018879798615480947
2025-07-24,159300,160600,154500,156000,89333,-0.02010050251256279
2025-07-25,156400,158600,155200,157100,43918,0.007051282051282026
2025-07-28,158600,164200,155200,162000,111864,0.031190324633991073
2025-07-29,161000,161000,152600,155200,84305,-0.041975308641975295
2025-07-30,156000,157900,154900,156300,58817,0.007087628865979356
2025-07-31,159000,159400,151500,154100,72116,-0.01407549584133072
2025-08-01,151300,153700,148000,148700,47040,-0.0350421804023362
2025-08-04,146300,149200,146100,148600,39267,-0.0006724949562878502
2025-08-05,149000,150800,148400,149600,44430,0.006729475100942128
2025-08-06,150300,150700,148300,149600,29109,0.0
2025-08-07,151000,151300,149000,150500,36526,0.006016042780748743
2025-08-08,153000,156500,152000,153200,46874,0.017940199335548135
2025-08-11,154000,154000,151700,152400,28069,-0.005221932114882533
2025-08-12,153800,155900,150200,151200,40229,-0.007874015748031482
2025-08-13,151800,153600,150900,151800,33551,0.003968253968253954
2025-08-14,151800,154600,151800,152400,27721,0.0039525691699604515
2025-08-18,152400,152400,149300,150500,40656,-0.01246719160104992
2025-08-19,150500,153500,148900,152900,34249,0.015946843853820614
2025-08-20,150500,151900,149000,151000,30552,-0.012426422498364897
2025-08-21,151300,153300,150200,150200,20501,-0.005298013245033095
2025-08-22,151200,153500,150700,151300,18984,0.007323568575233086
2025-08-25,153000,163500,152900,162000,137865,0.07072042300066084
2025-08-26,160900,163800,160200,162500,53626,0.0030864197530864335
2025-08-27,166000,171200,163100,163600,148756,0.006769230769230861
2025-08-28,167700,170500,165000,165500,107146,0.011613691931540382
2025-08-29,168100,176000,167000,175600,178800,0.06102719033232629
2025-09-01,174300,174600,169200,170300,96811,-0.03018223234624151
2025-09-02,172700,174000,165000,166700,71271,-0.021139166177334134
2025-09-03,168200,170000,165500,167400,57028,0.004199160167966509
2025-09-04,167300,167300,164900,166400,45332,-0.005973715651135025
2025-09-05,166400,166700,163000,166200,41327,-0.0012019230769231282
2025-09-08,165800,170300,165000,169100,63076,0.017448856799037404
2025-09-09,172300,172400,168700,170400,54441,0.007687758722649374
2025-09-10,171500,173200,169700,171200,41857,0.0046948356807512415
2025-09-11,172500,172500,167300,170000,51798,-0.007009345794392496
2025-09-12,170000,174300,168700,173500,65300,0.020588235294117574
2025-09-15,174500,179000,172600,173600,81422,0.0005763688760807018
