date,open,high,low,close,volume,Change
2025-06-24,31900,32950,31800,32350,243321,0.02861685214626397
2025-06-25,32400,34500,32100,33400,404757,0.032457496136012454
2025-06-26,33200,33350,31900,32250,165995,-0.034431137724550864
2025-06-27,32350,32350,31300,31500,194855,-0.023255813953488413
2025-06-30,31650,31825,31150,31250,79865,-0.007936507936507908
2025-07-01,31550,32400,31300,31800,139823,0.01760000000000006
2025-07-02,31950,32700,31650,32500,137535,0.022012578616352307
2025-07-03,32200,33100,32200,33050,120586,0.01692307692307682
2025-07-04,33100,33150,32100,32150,72416,-0.027231467473525006
2025-07-07,32000,32350,31750,31850,68235,-0.009331259720062213
2025-07-08,31800,32250,31550,32100,54752,0.007849293563579218
2025-07-09,31850,31950,31500,31850,72867,-0.007788161993769416
2025-07-10,31950,32350,31700,31850,131034,0.0
2025-07-11,31950,32350,31800,32250,120854,0.012558869701726927
2025-07-14,32250,33450,32000,32800,146898,0.01705426356589146
2025-07-15,33000,33000,32200,32700,92857,-0.0030487804878048808
2025-07-16,32500,32600,31850,31850,126922,-0.025993883792048922
2025-07-17,32100,32200,31350,32000,84948,0.0047095761381474865
2025-07-18,32050,32650,32000,32300,85804,0.009374999999999911
2025-07-21,32350,32550,32050,32250,53377,-0.001547987616099089
2025-07-22,32250,32350,31400,31650,120777,-0.018604651162790753
2025-07-23,32400,36250,32400,35700,1443481,0.12796208530805697
2025-07-24,35250,36100,34800,35400,335521,-0.008403361344537785
2025-07-25,34850,35250,33950,34150,160240,-0.035310734463276816
2025-07-28,34900,35050,34050,34600,133170,0.013177159590043841
2025-07-29,34500,35200,33800,34850,136790,0.007225433526011571
2025-07-30,34950,37450,34800,36400,406062,0.0444763271162123
2025-07-31,37900,37900,33050,33400,921746,-0.08241758241758246
2025-08-01,32700,33450,32400,32400,200028,-0.029940119760479056
2025-08-04,32000,32800,32000,32450,105066,0.0015432098765431057
2025-08-05,32700,32950,32300,32600,97741,0.0046224961479199855
2025-08-06,32350,33100,32300,32900,90263,0.009202453987730008
2025-08-07,33500,34000,33100,34000,175994,0.033434650455927084
2025-08-08,33750,33950,33350,33400,106628,-0.01764705882352946
2025-08-11,33400,33650,33025,33100,94409,-0.008982035928143728
2025-08-12,33050,33500,32900,32950,109943,-0.004531722054380682
2025-08-13,33250,33750,33100,33450,85100,0.015174506828528056
2025-08-14,33600,33850,32950,32950,111919,-0.014947683109118093
2025-08-18,32800,33000,32350,32800,46566,-0.004552352048558417
2025-08-19,32950,33400,32550,33350,66498,0.0167682926829269
2025-08-20,33450,33750,33000,33750,133845,0.011994002998500841
2025-08-21,33750,34150,33500,33800,115527,0.001481481481481417
2025-08-22,33950,34450,33600,33800,131859,0.0
2025-08-25,33950,33950,33200,33550,99471,-0.007396449704141994
2025-08-26,33250,34500,33250,33650,119348,0.0029806259314455463
2025-08-27,34000,34000,33400,33400,59420,-0.007429420505200568
2025-08-28,33500,34650,33350,33950,136066,0.01646706586826352
2025-08-29,33950,34250,33625,34000,84447,0.0014727540500736325
2025-09-01,34050,34500,33750,33800,74612,-0.00588235294117645
2025-09-02,33900,34000,33200,33800,52865,0.0
2025-09-03,33500,34300,33300,33850,72574,0.0014792899408284654
2025-09-04,33950,34000,33500,33850,57127,0.0
2025-09-05,34000,34200,33450,33700,85602,-0.004431314623338234
2025-09-08,33400,33400,32650,33300,104045,-0.011869436201780381
2025-09-09,33550,33650,33150,33450,88936,0.0045045045045044585
2025-09-10,33350,33950,33350,33850,77016,0.01195814648729443
2025-09-11,35350,37100,34900,36200,541365,0.069423929098966
2025-09-12,36050,36100,35300,35900,148460,-0.008287292817679592
2025-09-15,35500,35500,34000,34500,310014,-0.03899721448467963
2025-09-16,34550,35700,34400,35450,148681,0.02753623188405796
2025-09-17,35200,35750,34900,35450,75136,0.0
2025-09-18,35400,36250,34950,36050,152646,0.016925246826516194
2025-09-19,36050,36050,34450,34800,254851,-0.03467406380027738
2025-09-22,35050,36750,34800,36400,271950,0.04597701149425282
2025-09-23,36400,36650,35800,36550,136863,0.004120879120879106
2025-09-24,36250,36250,35050,35650,144415,-0.024623803009575895
2025-09-25,35400,35800,34800,35200,88095,-0.012622720897615736
2025-09-26,34900,34950,34150,34550,98452,-0.01846590909090906
2025-09-29,34700,34750,34150,34200,65851,-0.01013024602026047
2025-09-30,34100,34250,33600,33900,89615,-0.00877192982456143
2025-10-01,33900,34300,33900,33950,57950,0.001474926253687281
2025-10-02,34400,35150,34200,34450,105876,0.014727540500736325
2025-10-10,34150,34600,33800,34300,107763,-0.004354136429608135
2025-10-13,34200,34350,33500,33800,95412,-0.014577259475218707
2025-10-14,33650,34600,33650,33750,117011,-0.0014792899408283544
2025-10-15,34050,35100,34050,34850,90458,0.032592592592592506
2025-10-16,36950,37800,36100,36650,435038,0.05164992826398862
2025-10-17,36150,36850,36000,36400,135246,-0.006821282401091366
2025-10-20,37600,37700,35600,36300,204933,-0.0027472527472527375
2025-10-21,36950,37700,36300,36600,276957,0.008264462809917328
2025-10-22,37950,38000,36400,37200,211800,0.016393442622950838
2025-10-23,36450,36800,36100,36100,140266,-0.029569892473118253
2025-10-24,36400,36400,35700,36250,127572,0.0041551246537396835
2025-10-27,36300,36600,35650,36000,192473,-0.006896551724137945
2025-10-28,35800,35800,35300,35600,130008,-0.011111111111111072
2025-10-29,36000,36250,35350,36100,144360,0.014044943820224809
2025-10-30,38750,38750,35400,35450,385088,-0.018005540166205036
2025-10-31,36050,36850,35650,36350,305593,0.02538787023977429
2025-11-03,36850,36850,35150,35350,249761,-0.02751031636863821
2025-11-04,35250,35250,34550,34650,118001,-0.01980198019801982
2025-11-05,34400,34500,33200,33750,152109,-0.025974025974025983
2025-11-06,34500,34700,33650,34400,90674,0.01925925925925931
2025-11-07,34400,34400,33400,33850,101256,-0.015988372093023284
2025-11-10,34100,35150,33950,34900,92789,0.03101920236336775
2025-11-11,35100,35250,34550,34800,81471,-0.002865329512893977
2025-11-12,34600,35300,34350,35100,78734,0.008620689655172376
2025-11-13,35150,35500,34900,35050,110894,-0.0014245014245014564
2025-11-14,34550,35300,34300,34300,80178,-0.021398002853067033
2025-11-17,35050,35050,34200,34800,71036,0.014577259475218707
2025-11-18,34450,35000,34200,34450,97196,-0.010057471264367845
2025-11-19,34850,35850,34650,35400,167837,0.027576197387518153
2025-11-20,35850,37050,35600,36500,272331,0.031073446327683607
2025-11-21,35800,36600,35550,36100,137389,-0.010958904109588996
2025-11-24,36500,36850,35900,36450,143022,0.00969529085872578
2025-11-25,36800,37900,36750,37150,196248,0.019204389574760006
2025-11-26,37350,38100,36650,38100,202872,0.025572005383580176
2025-11-27,37800,40500,37800,40300,449192,0.05774278215223094
2025-11-28,40100,42100,40100,41400,338577,0.027295285359801413
2025-12-01,41250,41700,39900,40300,189447,-0.02657004830917875
2025-12-02,40850,42100,40750,41200,205914,0.022332506203474045
2025-12-03,41500,44600,41250,43850,481280,0.06432038834951448
2025-12-04,44650,45300,43800,44000,407958,0.003420752565564511
