date,open,high,low,close,volume,Change
2025-07-01,67200,69700,66800,68000,293107,0.007407407407407307
2025-07-02,68200,72600,67300,70600,598255,0.038235294117647145
2025-07-03,71500,78000,70900,77300,980814,0.094900849858357
2025-07-04,76200,78000,73700,74500,384088,-0.036222509702457995
2025-07-07,74500,80000,74400,79500,548004,0.06711409395973145
2025-07-08,78800,82400,78500,81100,456318,0.020125786163522008
2025-07-09,80900,82700,79700,80600,276692,-0.006165228113440224
2025-07-10,80300,82000,79300,81000,307419,0.00496277915632759
2025-07-11,81200,81300,78900,80000,198552,-0.012345679012345734
2025-07-14,79500,82400,79300,80600,247382,0.007500000000000062
2025-07-15,80100,83600,79100,83200,352986,0.032258064516129004
2025-07-16,82800,86000,82300,84600,284683,0.016826923076923128
2025-07-17,83900,84800,78600,78800,491657,-0.0685579196217494
2025-07-18,79700,81700,76700,80100,351938,0.016497461928933976
2025-07-21,79900,80600,78000,79800,230898,-0.0037453183520599342
2025-07-22,79500,79700,77600,78000,202208,-0.022556390977443663
2025-07-23,78500,80400,77300,79000,203341,0.012820512820512775
2025-07-24,79300,80100,76900,76900,248488,-0.02658227848101269
2025-07-25,77200,78400,76500,77600,114031,0.00910273081924573
2025-07-28,78100,78400,75200,75600,235016,-0.02577319587628868
2025-07-29,75600,76200,74000,75500,107853,-0.001322751322751281
2025-07-30,75400,75700,72100,72500,227204,-0.039735099337748325
2025-07-31,73000,73000,70700,71500,203223,-0.01379310344827589
2025-08-01,70800,71200,68800,69000,239648,-0.034965034965035
2025-08-04,69500,70400,68700,69200,112636,0.0028985507246377384
2025-08-05,71500,72900,67200,69600,411490,0.005780346820809301
2025-08-06,70300,70300,67600,68200,199654,-0.02011494252873558
2025-08-07,68700,68800,66500,68300,222385,0.0014662756598240456
2025-08-08,68200,68400,65900,67100,171610,-0.017569546120058566
2025-08-11,66900,67300,65800,66600,120408,-0.007451564828613977
2025-08-12,67100,68800,66400,66800,137076,0.0030030030030030463
2025-08-13,67800,69700,67200,68300,187455,0.022455089820359264
2025-08-14,68900,70400,68100,68300,115548,0.0
2025-08-18,67900,68700,67000,67800,160547,-0.007320644216691097
2025-08-19,67800,69000,66200,66500,81111,-0.019174041297935096
2025-08-20,65200,66200,61900,64200,199342,-0.0345864661654135
2025-08-21,64700,65000,63600,64300,115899,0.0015576323987538387
2025-08-22,63900,66900,63900,66700,117857,0.03732503888024885
2025-08-25,67300,68000,66900,67600,96160,0.013493253373313419
2025-08-26,67600,74500,67000,73600,478198,0.08875739644970415
2025-08-27,74000,79400,74000,77200,481669,0.048913043478260976
2025-08-28,77800,80600,77800,78800,345072,0.020725388601036343
2025-08-29,78100,80300,78000,79600,293919,0.010152284263959421
2025-09-01,79100,80000,76900,78200,153801,-0.017587939698492483
2025-09-02,78500,81000,76500,77100,238510,-0.014066496163682829
2025-09-03,77100,80900,76600,80000,284190,0.03761348897535677
2025-09-04,80900,84100,80800,83500,328217,0.043749999999999956
2025-09-05,83500,84800,82000,84100,252872,0.007185628742514938
2025-09-08,83900,86100,78000,85100,248797,0.01189060642092743
2025-09-09,84600,85400,79900,82100,384701,-0.03525264394829608
2025-09-10,84300,84700,79600,80600,368578,-0.018270401948842885
2025-09-11,81800,83100,80000,80700,234611,0.001240694789081953
2025-09-12,80800,82900,79800,81300,262069,0.0074349442379182396
2025-09-15,80600,81000,79100,80400,178505,-0.011070110701106972
2025-09-16,80500,88400,79900,87700,437589,0.09079601990049757
2025-09-17,87900,87900,85300,86000,173438,-0.019384264538198415
2025-09-18,88000,88300,84500,86400,242075,0.0046511627906977715
2025-09-19,93900,94000,85900,90000,967730,0.04166666666666674
2025-09-22,89200,93100,85900,88500,641479,-0.01666666666666672
2025-09-23,88900,92200,88300,91100,332563,0.029378531073446235
2025-09-24,90300,92100,89000,92000,270998,0.009879253567508295
2025-09-25,91700,92700,89800,90600,330791,-0.01521739130434785
2025-09-26,90900,92200,89600,90500,251822,-0.001103752759381904
2025-09-29,93600,96200,88900,89900,836285,-0.006629834254143652
2025-09-30,89900,90900,87900,88900,339101,-0.011123470522803158
2025-10-01,88400,89800,87000,89400,262945,0.0056242969628796935
2025-10-02,89100,96000,87400,93300,591265,0.043624161073825496
2025-10-10,93000,95200,91700,94400,345994,0.011789924973204746
