date,open,high,low,close,volume,Change
2025-06-24,63000,66000,62300,65000,281871,0.06907894736842102
2025-06-25,64400,64900,62800,62900,192687,-0.03230769230769226
2025-06-26,63400,63400,61500,62600,116593,-0.004769475357710662
2025-06-27,63300,63300,58100,58600,393149,-0.06389776357827481
2025-06-30,59200,60500,58600,58800,139475,0.0034129692832765013
2025-07-01,59400,63100,59100,61400,258715,0.04421768707482987
2025-07-02,61300,65200,59800,65100,334405,0.06026058631921827
2025-07-03,64500,68800,64100,68200,348628,0.04761904761904767
2025-07-04,67600,69400,65800,67900,179137,-0.004398826979472137
2025-07-07,67300,67400,65100,66200,100096,-0.025036818851251863
2025-07-08,66000,68600,65800,66500,145998,0.004531722054380571
2025-07-09,66300,67600,65900,66500,117186,0.0
2025-07-10,66400,67300,66300,66600,193874,0.0015037593984963404
2025-07-11,67300,71500,67300,70000,253882,0.05105105105105112
2025-07-14,69200,69300,67700,68300,119010,-0.024285714285714244
2025-07-15,68000,68200,66300,67100,125018,-0.017569546120058566
2025-07-16,67400,67500,64800,65000,116226,-0.03129657228017879
2025-07-17,65600,66100,63700,65400,97456,0.006153846153846176
2025-07-18,65700,67200,65600,66000,104075,0.00917431192660545
2025-07-21,66400,70000,65900,68900,212537,0.043939393939393945
2025-07-22,69300,69900,68000,68800,96292,-0.0014513788098693414
2025-07-23,69600,71900,66000,66900,235508,-0.02761627906976749
2025-07-24,67500,69400,66700,67900,133361,0.014947683109117982
2025-07-25,67500,68200,66000,66300,111202,-0.02356406480117823
2025-07-28,66700,67200,65700,66400,81670,0.0015082956259426794
2025-07-29,65800,65800,64000,65400,112954,-0.015060240963855387
2025-07-30,65000,70000,64500,68000,203112,0.039755351681957096
2025-07-31,68200,69000,66000,66500,76006,-0.022058823529411797
2025-08-01,65500,65700,63700,64000,144288,-0.03759398496240607
2025-08-04,64000,64900,63000,64200,68626,0.0031250000000000444
2025-08-05,64500,66000,63800,64000,92329,-0.0031152647975077885
2025-08-06,64000,65700,64000,64400,67798,0.006250000000000089
2025-08-07,64400,64600,62300,62500,178712,-0.029503105590062084
2025-08-08,62800,62900,60900,62200,162009,-0.0048000000000000265
2025-08-11,62600,62700,60800,61300,191613,-0.014469453376205754
2025-08-12,61500,61700,59700,59900,241228,-0.022838499184339334
2025-08-13,60300,61200,59600,60700,100360,0.013355592654423987
2025-08-14,61300,61600,60800,60900,104715,0.0032948929159801743
2025-08-18,61000,61500,60600,61000,66365,0.0016420361247948545
2025-08-19,61400,61900,59900,61800,151914,0.013114754098360715
2025-08-20,61700,64200,60900,62200,278716,0.006472491909385036
2025-08-21,62300,71200,62200,66600,989630,0.07073954983922826
2025-08-22,66000,66800,62500,62700,245791,-0.058558558558558516
2025-08-25,63100,65800,62300,65300,229666,0.04146730462519943
2025-08-26,65000,70100,65000,68200,405137,0.04441041347626351
2025-08-27,68200,68300,65800,65900,103173,-0.03372434017595305
2025-08-28,66500,67500,63900,64100,142712,-0.0273141122913505
2025-08-29,64700,65000,62900,63500,77021,-0.009360374414976613
2025-09-01,63500,63500,61600,61800,95669,-0.026771653543307128
2025-09-02,62400,62400,61100,61800,73976,0.0
2025-09-03,61600,62800,61500,62100,65656,0.004854368932038833
2025-09-04,62300,63600,62300,63200,55643,0.017713365539452575
2025-09-05,63600,64500,63100,63600,58361,0.006329113924050667
2025-09-08,63500,64000,62600,63200,54955,-0.0062893081761006275
2025-09-09,63500,67000,63300,66100,227822,0.04588607594936711
2025-09-10,65800,67000,65000,66400,109395,0.004538577912254205
2025-09-11,67200,67200,64800,65900,136294,-0.0075301204819276935
2025-09-12,66600,67600,66100,66700,102627,0.012139605462822445
2025-09-15,66700,67500,66100,66500,111993,-0.0029985007496251548
2025-09-16,66800,67900,64500,65400,129486,-0.016541353383458635
2025-09-17,65900,66000,64800,65600,60708,0.003058103975535076
2025-09-18,65700,70000,65700,67900,237896,0.035060975609756184
2025-09-19,67300,67500,65400,66100,136147,-0.026509572901325495
2025-09-22,66700,66900,65100,65600,103955,-0.0075642965204235635
2025-09-23,65300,65600,63900,64400,161169,-0.018292682926829285
2025-09-24,64800,64800,63200,63700,79352,-0.010869565217391353
2025-09-25,63800,64800,63400,64500,91919,0.012558869701726927
2025-09-26,64100,68900,64100,67000,392330,0.03875968992248069
2025-09-29,67700,69500,66000,69100,210704,0.03134328358208949
2025-09-30,68600,68900,67500,67700,91393,-0.02026049204052094
2025-10-01,68000,71800,67200,67900,193953,0.002954209748892156
2025-10-02,68000,68400,67000,67200,103348,-0.010309278350515427
2025-10-10,66600,66700,64700,65400,125582,-0.0267857142857143
2025-10-13,64800,66200,63500,66100,80058,0.010703363914372988
2025-10-14,65300,68100,64900,67500,157703,0.021180030257186067
2025-10-15,67300,69300,66800,68600,128384,0.016296296296296253
2025-10-16,68900,72000,68600,72000,357157,0.04956268221574334
2025-10-17,71500,74800,71300,73100,231632,0.015277777777777724
2025-10-20,72000,72800,70500,71700,144943,-0.019151846785225746
2025-10-21,72300,73300,70800,71300,130040,-0.00557880055788007
2025-10-22,71700,75900,71400,75900,287119,0.06451612903225801
2025-10-23,77600,77900,74500,74600,202963,-0.017127799736495364
2025-10-24,75400,77300,74000,76400,179941,0.024128686327077764
2025-10-27,77500,77500,73900,74000,244334,-0.03141361256544506
2025-10-28,74500,74700,72800,73700,141624,-0.004054054054054013
2025-10-29,74100,74100,72000,73400,122298,-0.004070556309362261
2025-10-30,73000,73400,71200,71400,96771,-0.027247956403269713
2025-10-31,71300,71400,69800,70700,118819,-0.009803921568627416
2025-11-03,71100,72300,70400,71500,172043,0.011315417256011262
