date,open,high,low,close,volume,Change
2025-07-01,76300,79300,75100,75500,109512,-0.006578947368421018
2025-07-02,81300,90700,79500,87000,3567389,0.15231788079470188
2025-07-03,84400,85200,82900,83800,414925,-0.0367816091954023
2025-07-04,83300,83300,76200,76300,436424,-0.08949880668257759
2025-07-07,75100,76100,73800,75100,138561,-0.01572739187418082
2025-07-08,74300,75900,74200,75200,107483,0.0013315579227697327
2025-07-09,75400,77000,74500,76700,99774,0.019946808510638236
2025-07-10,76800,77000,75800,77000,68865,0.003911342894393766
2025-07-11,77400,77400,76300,76600,64741,-0.0051948051948051965
2025-07-14,76100,76300,73600,74800,115588,-0.023498694516971286
2025-07-15,75100,75900,74900,75700,55753,0.012032085561497263
2025-07-16,75500,75600,74200,74700,48246,-0.013210039630118908
2025-07-17,75300,75300,73600,74400,73337,-0.004016064257028162
2025-07-18,74400,74500,72900,73200,56249,-0.016129032258064502
2025-07-21,73700,75500,73500,74800,76165,0.021857923497267784
2025-07-22,74500,74500,72900,73400,75432,-0.018716577540106916
2025-07-23,73900,85000,73500,83200,755677,0.13351498637602188
2025-07-24,83300,99400,83300,94600,1623323,0.13701923076923084
2025-07-25,93000,96300,92500,93000,275399,-0.016913319238900604
2025-07-28,92100,94700,91300,92400,187205,-0.006451612903225823
2025-07-29,91800,96100,91200,95000,222581,0.02813852813852824
2025-07-30,94500,96200,93500,93900,83987,-0.011578947368421022
2025-07-31,93900,94500,90900,92600,148652,-0.013844515441959526
2025-08-01,92200,92300,87800,90300,153193,-0.024838012958963263
2025-08-04,90500,100500,89500,98400,367788,0.0897009966777409
2025-08-05,98400,100100,96900,99600,144306,0.012195121951219523
2025-08-06,99600,100000,97200,97400,71849,-0.02208835341365467
2025-08-07,99500,102900,98500,99900,127681,0.02566735112936347
2025-08-08,105300,106900,100100,104400,287176,0.04504504504504503
2025-08-11,108800,111000,105200,106500,251575,0.02011494252873569
2025-08-12,104000,106600,103400,104500,108018,-0.018779342723004744
2025-08-13,104300,104300,99900,101300,169787,-0.030622009569377995
