date,open,high,low,close,volume,Change
2025-06-24,840000,854000,819000,826000,91294,-0.0012091898428052694
2025-06-25,830000,864000,809000,856000,85071,0.036319612590798966
2025-06-26,845000,863000,831000,863000,57132,0.008177570093457875
2025-06-27,869000,880000,846000,857000,44633,-0.006952491309385911
2025-06-30,865000,910000,850000,891000,60680,0.03967327887981331
2025-07-01,906000,920000,891000,905000,51344,0.015712682379348974
2025-07-02,929000,946000,870000,938000,112185,0.03646408839779003
2025-07-03,924000,927000,890000,907000,86569,-0.03304904051172708
2025-07-04,910000,943000,882000,889000,87680,-0.019845644983461974
2025-07-07,863000,910000,860000,903000,72291,0.015748031496062964
2025-07-08,906000,968000,899000,960000,88836,0.06312292358803995
2025-07-09,946000,957000,870000,943000,100464,-0.017708333333333326
2025-07-10,960000,990000,952000,975000,79887,0.03393425238600223
2025-07-11,990000,998000,962000,978000,42974,0.003076923076922977
2025-07-14,969000,1015000,959000,1008000,65937,0.030674846625766916
2025-07-15,1035000,1045000,1002000,1035000,65091,0.02678571428571419
2025-07-16,1033000,1085000,1019000,1066000,97465,0.02995169082125604
2025-07-17,1080000,1081000,1036000,1058000,76455,-0.007504690431519689
2025-07-18,1058000,1096000,1045000,1058000,81687,0.0
2025-07-21,1033000,1068000,1033000,1053000,61670,-0.00472589792060496
2025-07-22,1055000,1063000,1010000,1040000,75091,-0.012345679012345734
2025-07-23,1045000,1070000,1030000,1059000,51665,0.018269230769230704
2025-07-24,1077000,1140000,1075000,1122000,89885,0.059490084985835745
2025-07-25,1110000,1134000,1086000,1125000,58754,0.002673796791443861
2025-07-28,1279000,1356000,1263000,1286000,193907,0.1431111111111112
2025-07-29,1256000,1294000,1256000,1293000,55646,0.005443234836703059
2025-07-30,1298000,1298000,1234000,1241000,85272,-0.04021655065738594
2025-07-31,1229000,1265000,1174000,1226000,80252,-0.01208702659145855
2025-08-01,1207000,1210000,1155000,1169000,63211,-0.046492659053833596
2025-08-04,1158000,1214000,1143000,1200000,58570,0.02651839178785287
2025-08-05,1214000,1285000,1205000,1282000,78764,0.06833333333333336
2025-08-06,1270000,1290000,1255000,1278000,45887,-0.0031201248049922414
2025-08-07,1278000,1314000,1216000,1224000,88400,-0.04225352112676062
2025-08-08,1224000,1230000,1176000,1190000,61946,-0.02777777777777779
2025-08-11,1191000,1229000,1180000,1205000,50931,0.012605042016806678
2025-08-12,1205000,1255000,1190000,1207000,63674,0.0016597510373443924
2025-08-13,1253000,1300000,1217000,1227000,73308,0.016570008285004212
2025-08-14,1244000,1244000,1194000,1215000,61290,-0.009779951100244544
2025-08-18,1171000,1198000,1147000,1177000,82959,-0.031275720164609
2025-08-19,1179000,1185000,1144000,1160000,64506,-0.014443500424808797
2025-08-20,1090000,1119000,1073000,1115000,99690,-0.03879310344827591
2025-08-21,1142000,1149000,1101000,1135000,79612,0.017937219730941756
2025-08-22,1149000,1210000,1148000,1199000,79904,0.05638766519823779
2025-08-25,1230000,1246000,1208000,1244000,58640,0.03753127606338613
2025-08-26,1234000,1255000,1211000,1251000,563028,0.00562700964630225
2025-08-27,1268000,1270000,1215000,1230000,71775,-0.016786570743405282
2025-08-28,1215000,1229000,1193000,1229000,39217,-0.0008130081300813385
2025-08-29,1240000,1268000,1229000,1240000,52883,0.008950366151342593
2025-09-01,1235000,1244000,1207000,1216000,45069,-0.01935483870967747
2025-09-02,1225000,1240000,1221000,1233000,29337,0.01398026315789469
2025-09-03,1247000,1277000,1237000,1258000,46264,0.020275750202757514
2025-09-04,1246000,1269000,1208000,1209000,62815,-0.03895071542130368
2025-09-05,1220000,1234000,1209000,1232000,41341,0.01902398676592232
2025-09-08,1214000,1223000,1187000,1204000,50917,-0.022727272727272707
2025-09-09,1210000,1252000,1185000,1252000,65968,0.039867109634551534
2025-09-10,1252000,1400000,1248000,1393000,159889,0.11261980830670937
2025-09-11,1425000,1425000,1370000,1386000,79680,-0.005025125628140725
2025-09-12,1396000,1449000,1382000,1445000,76068,0.04256854256854248
