date,open,high,low,close,volume,Change
2025-06-24,4315,4345,4195,4240,1698093,0.01800720288115243
2025-06-25,4310,4585,4270,4360,4465856,0.028301886792452935
2025-06-26,4385,4395,4150,4340,2139677,-0.004587155963302725
2025-06-27,4330,4350,4200,4240,1472328,-0.02304147465437789
2025-06-30,4225,4265,4150,4180,1372041,-0.014150943396226467
2025-07-01,4195,4370,4190,4225,2070319,0.010765550239234534
2025-07-02,4265,4270,4085,4160,1701874,-0.01538461538461533
2025-07-03,4180,4230,4145,4180,1065315,0.004807692307692291
2025-07-04,4240,4255,4085,4095,1047721,-0.020334928229665095
2025-07-07,4050,4080,3980,4035,1498818,-0.0146520146520146
2025-07-08,4045,4115,4030,4100,1182341,0.01610904584882289
2025-07-09,4130,4175,4075,4175,1043541,0.018292682926829285
2025-07-10,4180,4195,4115,4155,1234374,-0.004790419161676662
2025-07-11,4160,4190,4075,4095,1321996,-0.014440433212996373
2025-07-14,4090,4135,4070,4130,642854,0.008547008547008517
2025-07-15,4140,4170,4080,4130,1027068,0.0
2025-07-16,4110,4130,4000,4005,1238700,-0.030266343825665842
2025-07-17,4040,4045,3975,4030,915607,0.006242197253433224
2025-07-18,4040,4045,3970,4015,920653,-0.003722084367245637
2025-07-21,4015,4015,3975,3995,661068,-0.00498132004981322
2025-07-22,3985,3990,3940,3965,965412,-0.007509386733416723
2025-07-23,3965,4000,3915,3960,852518,-0.0012610340479193294
2025-07-24,3950,4010,3885,3915,1278321,-0.011363636363636354
2025-07-25,3835,3930,3835,3920,996753,0.0012771392081736277
2025-07-28,3905,3940,3805,3810,1338370,-0.028061224489795866
2025-07-29,3800,3905,3705,3905,1797200,0.02493438320209984
2025-07-30,3875,3875,3765,3800,1561655,-0.02688860435339313
2025-07-31,3795,3835,3750,3750,2213713,-0.013157894736842146
2025-08-01,3715,3750,3655,3665,1355263,-0.022666666666666613
2025-08-04,3665,3770,3630,3730,772138,0.017735334242837686
2025-08-05,3745,3805,3740,3765,613584,0.009383378016085686
2025-08-06,3740,3880,3740,3840,933686,0.019920318725099584
2025-08-07,3845,3850,3785,3810,789430,-0.0078125
2025-08-08,3815,3850,3800,3830,666135,0.005249343832020914
2025-08-11,3845,3845,3740,3800,823870,-0.007832898172323799
2025-08-12,3795,3845,3745,3765,800328,-0.009210526315789447
2025-08-13,3770,3780,3690,3735,1076169,-0.007968127490039834
2025-08-14,3735,3775,3705,3730,585561,-0.0013386880856760541
2025-08-18,3705,3730,3685,3700,418319,-0.008042895442359255
2025-08-19,3730,3740,3670,3695,982691,-0.0013513513513513375
2025-08-20,3650,3685,3540,3675,1653820,-0.005412719891745632
2025-08-21,3700,4255,3685,4155,12983812,0.1306122448979592
2025-08-22,4170,4440,4135,4370,8515954,0.05174488567990365
2025-08-25,4390,4430,4270,4300,2840971,-0.016018306636155555
2025-08-26,4150,4160,3850,3850,9388453,-0.10465116279069764
2025-08-27,3905,3910,3780,3810,2835363,-0.010389610389610393
2025-08-28,3790,3820,3760,3795,1555866,-0.003937007874015741
2025-08-29,3755,3795,3710,3720,2181985,-0.01976284584980237
2025-09-01,3720,3725,3630,3645,1340105,-0.020161290322580627
2025-09-02,3670,3700,3620,3680,758796,0.009602194787379892
2025-09-03,3660,3705,3635,3655,922429,-0.006793478260869512
2025-09-04,3695,3825,3690,3805,2043267,0.041039671682626455
2025-09-05,3830,3830,3750,3770,1179791,-0.009198423127463884
2025-09-08,3800,3880,3795,3830,1213818,0.01591511936339529
2025-09-09,3840,3840,3790,3825,752978,-0.0013054830287205776
2025-09-10,3750,3790,3745,3785,923251,-0.010457516339869244
2025-09-11,3785,3815,3765,3780,1130380,-0.0013210039630119352
2025-09-12,3805,3805,3755,3790,950172,0.002645502645502562
2025-09-15,3785,3815,3765,3800,899440,0.0026385224274405594
2025-09-16,3810,3845,3740,3760,1824214,-0.010526315789473717
2025-09-17,3755,3760,3700,3710,1044228,-0.013297872340425565
2025-09-18,3720,3725,3700,3725,752628,0.0040431266846361336
2025-09-19,3720,3740,3670,3740,1440412,0.00402684563758382
2025-09-22,3740,3740,3685,3685,739179,-0.014705882352941124
2025-09-23,3685,3695,3660,3675,691847,-0.0027137042062415073
2025-09-24,3680,3690,3625,3635,964915,-0.010884353741496544
2025-09-25,3650,3660,3605,3630,646018,-0.0013755158184318717
2025-09-26,3610,3640,3550,3565,1043769,-0.017906336088154284
2025-09-29,3600,3625,3575,3600,472632,0.009817671809256634
